"NAME"|"PRICE"|"CUSINE_CATEGORY"|"CITY"|"REGION"|"URL"|"PAGE NO"|"CUSINE TYPE"|"TIMING"|"RATING_TYPE"|"RATING"|"VOTES"
"Hitchki"|"1200"|"Modern Indian,North Indian,Chinese,Momos,Biryani,Continental,American,Fast Food"|"Mumbai"|"First International Financial Centre-- Bandra Kurla Complex"|"https://www.zomato.com/mumbai/hitchki-bandra-kurla-complex/info"|"1"|"Casual Dining"|"12noon to 130am(Mon-Sun)"|"Excellent"|"4.9"|"3529"
"Baba Falooda"|"400"|"Desserts,Ice Cream,Beverages"|"Mumbai"|"Mahim"|"https://www.zomato.com/mumbai/baba-falooda-mahim/info"|"1"|"Dessert Parlor"|"2pm to 1am(Mon-Sun)"|"Very Good"|"4.4"|"1723"
"Chin Chin Chu"|"1800"|"Asian,Chinese"|"Mumbai"|"Juhu"|"https://www.zomato.com/mumbai/chin-chin-chu-juhu/info"|"1"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Very Good"|"4.2"|"337"
"Butterfly High"|"1000"|"Modern Indian"|"Mumbai"|"Bandra Kurla Complex"|"https://www.zomato.com/mumbai/butterfly-high-bandra-kurla-complex/info"|"1"|"Bar"|"12noon to 130am(Mon-Sun)"|"Very Good"|"4.3"|"1200"
"BKC  DIVE"|"1200"|"North Indian,Chinese,Continental"|"Mumbai"|"Bandra Kurla Complex"|"https://www.zomato.com/mumbai/bkc-dive-bandra-kurla-complex/info"|"1"|"Bar"|"1130am to 1am(Mon-Sun)"|"Veľmi dobré"|"4.4"|"5995"
"Flea Bazaar Café"|"800"|"American,Asian,Street Food,North Indian,Lucknowi,Mexican,Chinese,Italian"|"Mumbai"|"Flea Bazaar Café"|"https://www.zomato.com/fleabazaarcafe/info"|"1"|"Café"|"12noon to 1am(Mon-Sun)"|"Very Good"|"4.2"|"2042"
"Persian Darbar"|"1300"|"Biryani,North Indian,Chinese,Mughlai"|"Mumbai"|"Marol"|"https://www.zomato.com/mumbai/persian-darbar-marol/info"|"1"|"Casual Dining"|"10am to 3am(Mon-Sun)"|"Excellent"|"4.5"|"3058"
"Tanatan"|"1500"|"Modern Indian"|"Mumbai"|"Juhu"|"https://www.zomato.com/mumbai/tanatan-juhu/info"|"1"|"Casual Dining"|"12noon to 130am(Mon-Sun)"|"Excellent"|"4.7"|"1842"
"Cafe Safar"|"600"|"Chinese,North Indian,Biryani"|"Mumbai"|"Oshiwara-- Andheri West"|"https://www.zomato.com/mumbai/cafe-safar-oshiwara/info"|"1"|"Casual Dining"|"11am to 1am(Mon-Sun)"|"Very Good"|"4.0"|"2797"
"Plum by Bent Chair"|"1800"|"Asian"|"Mumbai"|"Kamala Mills Compound"|"https://www.zomato.com/mumbai/plum-by-bent-chair-lower-parel/info"|"1"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Excellent"|"4.7"|"1876"
"Angrezi Dhaba"|"1500"|"North Indian,Chinese,Thai,European"|"Mumbai"|"Dadar West"|"https://www.zomato.com/mumbai/angrezi-dhaba-1-dadar-west/info"|"1"|"Bar"|"12noon to 1am(Mon-Sun)"|"Excellent"|"4.5"|"2092"
"Raasta"|"1200"|"Continental,Seafood,Fast Food,Desserts,Italian,Finger Food"|"Mumbai"|"Khar"|"https://www.zomato.com/mumbai/raasta-khar/info"|"1"|"Casual Dining"|"12noon to 1am(Mon-Sun)"|"Very Good"|"4.0"|"3191"
